x,y,temperature
-8529756.969291987,4767986.912725967,32.5
-8529759.121843584,4767983.120981469,32.6
-8529760.93666298,4767977.981114275,32.8
-8529762.279498866,4767972.657331637,32.8
-8529763.879182212,4767969.53753142,32.7
-8529767.077457974,4767967.966090933,32.7
-8529771.887261476,4767967.034845204,32.7
-8529779.020736897,4767964.839787914,32.8
-8529786.65007386,4767961.971468776,32.9
-8529794.693730833,4767957.858391965,32.8
-8529802.816402381,4767953.145558871,32.8
-8529810.970243389,4767948.340272722,32.7
-8529818.132550558,4767943.407379078,32.8
-8529824.576179095,4767939.189824706,32.8
-8529829.127120253,4767934.35405301,32.8
-8529831.223166078,4767928.407498734,32.8
-8529830.034574479,4767922.528393375,32.8
-8529826.63396441,4767916.698691904,32.8
-8529822.369737731,4767909.912988398,32.8
-8529816.779206114,4767901.598769904,32.8
-8529810.64116071,4767892.044499015,33.0
-8529804.375921657,4767882.089048737,33.0
-8529797.996223902,4767872.225343379,32.9
-8529791.638433825,4767862.225102861,32.9
-8529785.820253847,4767852.489586803,32.9
-8529779.8887061,4767842.827554346,33.0
-8529773.684659371,4767833.673273846,32.9
-8529768.059919272,4767824.943340942,32.9
-8529763.505482681,4767817.025586703,33.0
-8529759.795716122,4767811.19738531,33.1
-8529757.654597037,4767807.881963676,33.4
-8529757.618473861,4767804.7635671655,33.1
-8529758.600578938,4767800.650180462,33.1
-8529762.67257912,4767795.245995604,33.1
-8529769.74974914,4767789.40853986,33.2
-8529778.852911633,4767783.810229738,33.1
-8529789.511641558,4767777.719306401,33.0
-8529801.065536033,4767770.394069563,33.1
-8529813.797691662,4767763.352443858,33.1
-8529826.41418634,4767755.914992598,33.1
-8529838.910444833,4767748.128281534,33.1
-8529851.68149549,4767741.023515329,33.1
-8529864.745561313,4767735.687209544,33.0
-8529878.650011366,4767733.385661979,33.2
-8529893.129560173,4767733.410412122,33.1
-8529906.867865887,4767734.511030823,33.0
-8529919.441613877,4767735.522074263,33.1
-8529930.739540316,4767736.272939057,33.3
-8529941.120583773,4767736.793526785,33.5
-8529950.67240834,4767737.275118664,33.3
-8529959.869880704,4767737.887584191,33.3
-8529968.771343408,4767738.456492361,33.3
-8529976.262020813,4767738.889576892,33.3
-8529981.664767582,4767739.292529569,33.2
-8529984.887310995,4767739.220020247,33.0
-8529986.282222137,4767740.2478856305,32.8
-8529987.34924172,4767740.262865232,32.7
-8529990.145342426,4767740.607122672,32.7
-8529994.763231127,4767740.680984629,32.7
-8530001.223357212,4767740.908369526,32.8
-8530009.767484354,4767741.614986613,33.0
-8530020.292330325,4767741.931313828,33.1
-8530032.133963423,4767741.929198554,33.0
-8530045.032586219,4767740.772387544,33.1
-8530057.804104416,4767738.01300415,33.2
-8530069.84595675,4767733.200539556,33.3
-8530081.688725306,4767726.432644587,33.4
-8530093.462564832,4767718.181402622,33.4
-8530105.318736255,4767708.544018935,33.3
-8530117.729467984,4767697.8429676825,33.3
-8530130.89431134,4767685.998519764,33.2
-8530144.314566137,4767672.871057599,33.2
-8530157.65946877,4767658.513669112,33.1
-8530170.728065293,4767643.413443733,33.0
-8530183.531053515,4767627.510136117,32.9
-8530197.096791752,4767610.770078774,32.9
-8530210.694923962,4767593.569415237,33.1
-8530224.007877901,4767576.546979333,33.0
-8530237.349051332,4767559.868449351,33.0
-8530250.907553803,4767543.134864591,32.9
-8530264.71801681,4767526.209670673,33.1
-8530278.917307666,4767509.006633507,33.0
-8530292.682530431,4767491.724527917,32.9
-8530306.427103432,4767474.808384943,33.1
-8530320.339546226,4767457.753356837,33.0
-8530334.28399337,4767440.59236679,33.1
-8530347.961986184,4767423.258160347,33.0
-8530361.59675364,4767406.284201718,33.0
-8530375.094509065,4767389.424866703,33.2
-8530388.405826608,4767372.98189419,33.1
-8530401.084482087,4767356.764641234,33.2
-8530412.333583798,4767340.200120166,33.2
-8530421.915976698,4767323.392005672,33.1
-8530428.612411799,4767305.33030587,33.1
-8530433.73490062,4767287.529323616,33.0
-8530438.634294048,4767270.339730749,33.1
-8530442.387786902,4767254.873155484,33.2
-8530446.375996904,4767240.407741289,33.1
-8530450.408244895,4767227.263046776,33.1
-8530454.322672335,4767215.540738577,33.0
-8530458.92144748,4767205.263445404,33.0
-8530464.765442448,4767195.356747493,32.9
-8530472.789885677,4767186.330958166,32.7
-8530483.342450203,4767178.787873217,32.7
-8530495.42818468,4767173.385403543,32.7
-8530509.615152469,4767169.978362584,32.7
-8530527.381219998,4767169.068500507,32.6
-8530544.89074063,4767169.297728648,32.6
-8530562.626584915,4767169.625865482,32.7
-8530579.849780684,4767170.25596593,32.9
-8530597.110580176,4767171.451964062,32.8
-8530614.853381932,4767172.732698069,32.9
-8530632.674875436,4767174.0794913,33.1
-8530650.789573345,4767175.448198883,33.1
-8530669.151578637,4767176.931772615,33.0
-8530687.751829902,4767178.610099296,33.1
-8530706.779826311,4767180.3237939915,33.0
-8530725.424015379,4767182.3873533625,32.9
-8530744.753531761,4767184.541980075,32.9
