x,y,temperature
-7910875.827557611,5203737.786713902,-1.1666666666666674
-7910871.931375433,5203743.303966056,-1.1666666666666674
-7910868.777323187,5203750.075143536,-1.1666666666666674
-7910866.3654008955,5203757.598679742,-1.1666666666666674
-7910864.324543555,5203765.122221919,-1.1666666666666674
-7910860.428361377,5203782.175606289,-1.1666666666666674
-7910857.45984163,5203792.207023197,-1.1666666666666674
-7910854.491321872,5203801.486093275,-1.1666666666666674
-7910851.5228021145,5203810.012814342,-1.1666666666666674
-7910847.441087459,5203825.310774297,-1.1666666666666674
-7910845.400230119,5203831.329650552,-1.1666666666666674
-7910844.287035213,5203836.59617041,-1.1666666666666674
-7910843.173840305,5203840.107185271,-1.1666666666666674
-7910843.173840305,5203843.116627619,-1.1666666666666674
-7910842.431710374,5203845.122923044,-1.2222222222222219
-7910840.01978807,5203851.643386131,-1.2222222222222219
-7910836.123605892,5203857.411491817,-1.1666666666666674
-7910829.073371477,5203861.925663937,-1.1666666666666674
-7910820.72440967,5203865.436688178,-1.1666666666666674
-7910811.633317917,5203868.696926147,-1.1666666666666674
-7910802.1711612,5203871.204802272,-1.1666666666666674
-7910792.89453697,5203874.966617695,-1.1666666666666674
-7910783.988977707,5203879.23001031,-1.1666666666666674
-7910775.26895092,5203883.493404842,-1.1666666666666674
-7910766.17785918,5203888.007589381,-1.1666666666666674
-7910756.530169974,5203893.2741407305,-1.1666666666666674
-7910746.511415803,5203898.039118284,-1.1666666666666674
-7910735.379466724,5203903.807252202,-1.1666666666666674
-7910723.505387702,5203908.823023693,-1.1666666666666674
-7910710.5181137845,5203913.838797823,-1.1666666666666674
-7910696.974242399,5203918.854574606,-1.1666666666666674
-7910682.873773563,5203925.12429933,-1.1666666666666674
-7910668.773304736,5203931.394028201,-1.2222222222222219
-7910654.858368387,5203937.663761202,-1.2222222222222219
-7910640.757899549,5203944.435077513,-1.2222222222222219
-7910627.214028166,5203950.704819155,-1.2222222222222219
-7910615.154416665,5203956.974564944,-1.2222222222222219
-7910605.321194984,5203962.241154607,-1.2222222222222219
-7910597.528830627,5203965.501425856,-1.2222222222222219
-7910591.591791111,5203965.752216006,-1.2222222222222219
-7910587.13901148,5203963.244314866,-1.2222222222222219
-7910584.170491733,5203957.977724644,-1.2222222222222219
-7910582.50069937,5203951.707978208,-1.2222222222222219
-7910581.387504463,5203944.685867103,-1.2222222222222219
-7910579.717712101,5203937.914550614,-1.2777777777777781
-7910578.233452217,5203931.394028201,-1.2777777777777781
-7910577.491322285,5203926.127455676,-1.2777777777777781
-7910577.120257309,5203922.365619949,-1.2777777777777781
-7910574.522802527,5203912.083276568,-1.3333333333333326
-7910571.183217803,5203905.061194832,-1.3333333333333326
-7910567.84363308,5203896.785176597,-1.3333333333333326
-7910564.8751133215,5203887.756801305,-1.3333333333333326
-7910561.721061086,5203877.474495466,-1.3333333333333326
-7910559.309138782,5203867.944563441,-1.3333333333333326
-7910556.340619035,5203857.662279105,-1.3333333333333326
-7910553.186566789,5203846.878431896,-1.3333333333333326
-7910550.032514552,5203835.3422368355,-1.3333333333333326
-7910546.878462318,5203822.050551248,-1.3333333333333326
-7910544.095475048,5203808.758884296,-1.3333333333333326
-7910541.126955288,5203795.718021617,-1.3333333333333326
-7910536.4886431685,5203782.175606289,-1.3333333333333326
-7910531.664798573,5203768.382425374,-1.3333333333333326
-7910526.469888997,5203754.33847998,-1.3333333333333326
-7910521.089446946,5203740.04377121,-1.3333333333333326
-7910515.523472406,5203725.9998678,-1.3333333333333326
-7910509.957497867,5203712.457552069,-1.3333333333333326
-7910504.762588293,5203700.670737447,-1.3333333333333326
-7910500.1242761845,5203691.391766049,-1.3333333333333326
-7910494.187236669,5203685.372978643,-1.3333333333333326
-7910486.765937289,5203683.115934351,-1.3333333333333326
-7910478.416975479,5203684.119065071,-1.3333333333333326
-7910469.882481181,5203687.379240682,-1.3333333333333326
-7910460.605856952,5203690.639417416,-1.3888888888888888
-7910450.030505327,5203693.648812313,-1.3888888888888888
-7910438.156426306,5203697.410557278,-1.3888888888888888
-7910425.911282319,5203702.175436368,-1.3888888888888888
-7910413.6661383305,5203707.191101176,-1.3888888888888888
-7910401.977591798,5203711.203634914,-1.3888888888888888
-7910390.660110231,5203714.965386847,-1.3888888888888888
-7910358.377457899,5203728.006138437,-1.3888888888888888
-7910347.431041309,5203732.5202489365,-1.3888888888888888
-7910336.299092229,5203737.786713902,-1.3888888888888888
-7910324.981610662,5203742.050044821,-1.3888888888888888
-7910300.862387664,5203749.573574657,-1.4444444444444453
-7910288.617243676,5203753.335341815,-1.4444444444444453
-7910276.743164655,5203756.846325853,-1.4444444444444453
-7910265.05461812,5203759.604957068,-1.4444444444444453
-7910265.05461812,5203759.604957068,-1.4444444444444453
-7910242.605187474,5203766.376146191,-1.4444444444444453
-7910232.400900826,5203770.388704997,-1.4444444444444453
-7910222.011081678,5203774.150480415,-1.4444444444444453
-7910211.435730053,5203777.912257325,-1.4444444444444453
-7910201.416975882,5203781.172465178,-1.4444444444444453
-7910191.398221711,5203785.686600992,-1.4444444444444453
-7910181.379467539,5203789.699167972,-1.4444444444444453
-7910171.360713367,5203794.213307846,-1.4444444444444453
-7910160.599829264,5203797.72430701,-1.4444444444444453
-7910149.282347698,5203802.238450706,-1.4444444444444453
-7910137.779333653,5203806.000238764,-1.4444444444444453
-7910126.461852084,5203809.762028311,-1.4444444444444453
-7910114.958838039,5203813.774605482,-1.4444444444444453
-7910103.455823983,5203817.285611888,-1.4444444444444453
-7910092.138342427,5203819.793474413,-1.3888888888888888
-7910080.635328371,5203821.799764901,-1.3888888888888888
-7910068.761249362,5203823.555269437,-1.4444444444444453
-7910056.516105372,5203825.56156072,-1.4444444444444453
-7910043.714363932,5203827.317065951,-1.4444444444444453
-7910030.1704925485,5203829.072571508,-1.4444444444444453
-7910015.884491232,5203831.07886396,-1.4444444444444453
-7910001.598489908,5203833.837516776,-1.4444444444444453
-7909987.312488592,5203836.34538368,-1.4444444444444453
-7909972.469889824,5203838.853251247,-1.4444444444444453
-7909958.183888497,5203841.36111946,-1.4444444444444453
-7909944.268952148,5203843.61820143,-1.4444444444444453
-7909930.725080776,5203846.627644893,-1.4999999999999996
-7909917.552274359,5203849.637089311,-1.4999999999999996
-7909904.565000441,5203852.646534684,-1.4999999999999996
