x,y,temperature
-9252302.22276186,5228113.497851388,-2.333333333333333
-9252280.515461154,5228114.252143821,-2.5
-9252238.02852217,5228115.760728864,-2.5
-9252217.063351404,5228116.766452362,-2.3888888888888893
-9252175.50407484,5228118.777899675,-2.5555555555555562
-9252154.35337159,5228119.783623493,-2.5555555555555562
-9252067.153103802,5228123.303657698,-2.2222222222222223
-9252044.518140676,5228124.560813089,-2.2222222222222223
-9251976.056653835,5228127.075124373,-2.1111111111111116
-9251954.163820647,5228127.829417886,-2.1111111111111116
-9251932.827584911,5228129.086573881,-1.555555555555556
-9251911.120284207,5228130.343730042,-1.555555555555556
-9251889.227451017,5228131.600886369,-2.166666666666666
-9251867.334617829,5228132.858042863,-2.166666666666666
-9251845.070719669,5228134.366630876,-2.2222222222222223
-9251822.621289026,5228136.126650531,-2.2222222222222223
-9251800.357390868,5228137.383807628,-2.166666666666666
-9251778.279025193,5228138.892396366,-2.166666666666666
-9251756.386192003,5228140.14955383,-2.2777777777777786
-9251734.493358815,5228141.155279921,-2.2777777777777786
-9251646.922026057,5228145.178185361,-2.3888888888888893
-9251602.950827194,5228147.189638722,-2.3888888888888893
-9251541.725107256,5228148.446797291,-2.3888888888888893
-9251523.542923762,5228148.698229023,-2.3888888888888893
-9251506.659467656,5228148.698229023,-2.4444444444444438
-9251492.002401369,5228148.949660764,-2.4444444444444438
-9251480.128322352,5228148.949660764,-2.3888888888888893
-9251471.037230603,5228148.195365563,-2.3888888888888893
-9251464.17252867,5228145.681048661,-2.4444444444444438
-9251458.421021646,5228142.161006121,-2.4444444444444438
-9251456.93676177,5228136.378081937,-2.4444444444444438
-9251457.122294255,5228128.583711463,-2.4444444444444438
-9251457.307826739,5228120.035054465,-2.5
-9251456.93676177,5228110.983543717,-2.5
-9251456.751229284,5228101.932041639,-2.5555555555555562
-9251456.009099346,5228092.126257505,-2.5555555555555562
-9251456.009099346,5228081.817623617,-2.5555555555555562
-9251455.823566861,5228071.76043066,-2.5555555555555562
-9251455.081436923,5228061.200389573,-2.5555555555555562
-9251454.524839468,5228050.388931162,-2.5555555555555562
-9251454.153774498,5228040.834629374,-2.6111111111111107
-9251454.153774498,5228030.526051433,-2.6111111111111107
-9251454.153774498,5228020.72034139,-2.6111111111111107
-9251453.968242016,5228012.423210069,-2.6111111111111107
-9251452.669514623,5227994.068975752,-2.666666666666667
-9251452.298449652,5227984.263303535,-2.666666666666667
-9251452.669514623,5227963.646282313,-2.7222222222222214
-9251453.040579593,5227952.332082463,-2.7222222222222214
-9251453.040579593,5227940.515043752,-2.7222222222222214
-9251453.226112077,5227928.446593932,-2.7777777777777777
-9251453.226112077,5227928.446593932,-2.7777777777777777
-9251453.040579593,5227905.315441523,-2.7777777777777777
-9251452.483982138,5227893.749886549,-2.7777777777777777
-9251452.112917168,5227882.687195034,-2.7777777777777777
-9251451.556319714,5227871.875940839,-2.7777777777777777
-9251451.927384684,5227861.064699012,-2.833333333333334
-9251452.298449652,5227850.002045757,-2.833333333333334
-9251452.483982138,5227838.939405452,-2.833333333333334
-9251451.927384684,5227828.128201302,-2.833333333333334
-9251451.370787231,5227817.819855378,-2.8888888888888884
-9251451.185254745,5227807.511520692,-2.8888888888888884
-9251450.814189777,5227797.203197252,-2.8888888888888884
-9251450.628657293,5227786.392040847,-2.8888888888888884
-9251449.886527354,5227775.329475,-2.8888888888888884
-9251448.773332445,5227764.266922104,-2.8888888888888884
-9251448.031202506,5227753.455803375,-2.9444444444444446
-9251447.289072568,5227741.387592425,-2.9444444444444446
-9251446.732475113,5227729.067976306,-2.9444444444444446
-9251446.361410145,5227715.994115543,-2.9444444444444446
-9251445.80481269,5227702.920272864,-2.9444444444444446
-9251444.691617781,5227690.852126444,-2.9444444444444446
-9251443.578422874,5227677.52689934,-2.999999999999999
-9251443.207357906,5227662.94459687,-2.999999999999999
-9251443.021825422,5227648.6137353275,-2.999999999999999
-9251442.094162997,5227634.031477468,-2.999999999999999
-9251440.053305667,5227604.364194722,-2.999999999999999
-9251439.682240697,5227589.782005136,-2.999999999999999
-9251439.682240697,5227575.954087518,-2.999999999999999
-9251439.496708212,5227562.377606268,-2.999999999999999
-9251439.496708212,5227562.377606268,-2.999999999999999
-9251439.125643242,5227536.984610356,-2.999999999999999
-9251438.754578274,5227525.670921275,-2.999999999999999
-9251439.125643242,5227515.111490353,-2.999999999999999
-9251439.311175728,5227503.797827457,-3.0555555555555554
-9251439.496708212,5227493.489835275,-3.0555555555555554
-9251438.754578274,5227482.42761227,-3.0555555555555554
-9251438.012448335,5227472.119643396,-3.0555555555555554
-9251437.084785912,5227462.314512703,-3.0555555555555554
