x,y,temperature
-10615225.89589817,3474417.3934846036,32.900000000000006
-10615229.04995041,3474416.111000089,32.900000000000006
-10615232.204002649,3474416.75224233,32.900000000000006
-10615235.172522401,3474419.744706547,32.900000000000006
-10615237.76997719,3474424.447151724,32.900000000000006
-10615240.552964458,3474430.2183367955,32.900000000000006
-10615243.521484213,3474437.0582632,32.900000000000006
-10615246.490003968,3474444.539436876,32.900000000000006
-10615250.015121175,3474452.2343629156,32.900000000000006
-10615253.725770868,3474459.9292935673,32.900000000000006
-10615257.807485532,3474467.8379770964,32.900000000000006
-10615261.70366771,3474475.9604138974,32.900000000000006
-10615265.228784917,3474484.0828558337,32.79999999999999
-10615268.382837156,3474491.777805565,32.79999999999999
-10615271.72242188,3474498.617764751,32.900000000000006
-10615274.505409151,3474504.602732028,32.900000000000006
-10615275.989669029,3474509.732706199,32.900000000000006
-10615277.102863936,3474514.0076862397,32.900000000000006
-10615278.401591327,3474516.786424028,32.900000000000006
-10615280.627981145,3474519.137664166,32.900000000000006
-10615285.451825745,3474520.2064098255,32.900000000000006
-10615292.130995192,3474518.7101659277,32.900000000000006
-10615309.385516265,3474510.587702093,32.900000000000006
-10615319.58980292,3474506.9539699354,32.900000000000006
-10615352.24352022,3474495.6252821595,32.900000000000006
-10615363.189936817,3474491.9915542337,32.900000000000006
-10615373.950820927,3474488.57157595,32.900000000000006
-10615394.730459208,3474481.731622114,33.0
-10615404.563680895,3474478.311646561,33.0
-10615414.211370096,3474475.3191687,33.0
-10615422.74586439,3474472.54043988,33.0
-10615430.167163776,3474470.189208274,33.0
-10615436.289735768,3474468.479221919,33.0
-10615441.11358037,3474467.1967323045,33.0
-10615449.648074666,3474464.204257032,33.0
-10615453.729789326,3474464.204257032,33.0
-10615458.368101444,3474466.127991054,33.0
-10615463.191946045,3474469.1204667757,33.10000000000001
-10615465.974933315,3474478.097898119,33.10000000000001
-10615469.314518038,3474489.640319066,33.0
-10615474.138362639,3474510.160204138,33.0
-10615478.776674755,3474524.908891784,33.0
-10615478.776674755,3474524.908891784,33.0
-10615490.279688805,3474552.2688209605,33.0
-10615496.216728313,3474565.735057502,33.0
-10615502.339300307,3474579.4150582887,33.0
-10615508.276339816,3474593.5225743596,33.0
-10615520.70701629,3474622.378905497,32.900000000000006
-10615527.015120765,3474636.913970918,32.900000000000006
-10615532.76662779,3474651.2353014643,32.900000000000006
-10615538.33260233,3474665.556647979,33.0
-10615543.898576869,3474679.4505068753,33.0
-10615549.650083894,3474693.1306287805,33.0
-10615555.40159092,3474706.169508535,33.0
-10615560.596500488,3474718.1396393063,33.0
-10615565.049280122,3474728.399760277,33.0
-10615568.574397331,3474736.5223618574,33.0
-10615570.98631963,3474742.079934319,33.0
-10615572.841644475,3474745.7137329997,33.0
-10615573.954839384,3474748.0650150464,33.0
-10615573.954839384,3474749.1337797553,33.0
-10615575.995696714,3474751.4850624264,33.0
-10615578.407619016,3474758.966419249,33.0
-10615581.190606287,3474767.30279341,33.0
-10615584.344658526,3474775.211666209,33.0
-10615587.498710765,3474782.693036852,33.0
-10615591.951490397,3474789.319397345,33.0
-10615597.517464936,3474793.808224139,33.0
-10615605.124296807,3474794.663238944,33.10000000000001
-10615613.473258615,3474792.7394557116,33.10000000000001
-10615622.378817879,3474789.746904592,33.10000000000001
-10615632.212039566,3474786.1130934544,33.10000000000001
-10615642.972923676,3474782.2655298403,33.10000000000001
-10615654.104872756,3474777.9904605104,33.10000000000001
-10615665.607886802,3474773.7153926035,33.10000000000001
-10615677.853030792,3474769.0128195505,33.10000000000001
-10615690.469239747,3474764.096495016,33.0
-10615703.085448705,3474759.1801723638,33.0
-10615715.70165766,3474753.83634553,33.0
-10615728.317866618,3474748.0650150464,33.0
-10615740.563010605,3474742.7211928363,33.0
-10615752.622622108,3474737.591125605,33.0
-10615764.125636157,3474733.1023184606,33.10000000000001
-10615775.257585235,3474728.827265495,33.10000000000001
-10615785.461871892,3474724.5522139524,33.10000000000001
-10615802.901925448,3474719.2084015263,33.10000000000001
-10615809.581094896,3474719.6359064374,33.0
-10615816.816861799,3474727.3309972943,33.0
-10615819.970914038,3474733.9573292243,33.0
-10615823.681563731,3474742.079934319,33.0
-10615827.577745907,3474751.271309438,33.0
-10615831.288395602,3474760.462691135,33.0
-10615835.370110262,3474769.6540794093,33.0
-10615839.266292442,3474779.700488071,33.0
-10615843.348007105,3474789.746904592,33.0
-10615847.800786735,3474799.7933289707,33.0
-10615852.81016382,3474810.05351517,33.0
-10615857.819540907,3474820.9549719896,32.900000000000006
-10615862.457853025,3474831.8564380608,32.900000000000006
-10615867.09616514,3474842.7579133864,33.0
-10615871.363412287,3474853.873152657,33.0
-10615875.630659435,3474864.560891796,33.0
-10615879.526841613,3474875.0348847825,33.0
-10615883.79408876,3474884.8676206656,32.900000000000006
-10615888.061335906,3474894.486608705,32.900000000000006
-10615892.328583052,3474903.678092896,33.0
-10615895.853700262,3474912.44207232,33.0
-10615899.193284985,3474920.5647902973,32.900000000000006
-10615902.347337224,3474927.6187337628,32.900000000000006
-10615906.057986917,3474933.1763889175,33.0
-10615911.252896488,3474935.9552173964,33.0
-10615917.932065934,3474935.9552173964,32.900000000000006
-10615924.611235384,3474933.3901449335,32.900000000000006
-10615939.824899126,3474928.260001541,32.900000000000006
-10615947.617263481,3474925.053662963,32.900000000000006
-10615970.808824062,3474915.220896314,32.900000000000006
-10615977.302461024,3474913.297095023,32.900000000000006
-10615982.31183811,3474911.8008053307,33.0
-10615985.83695532,3474910.5182714467,33.0
-10615989.176540043,3474910.304515811,33.0
-10615992.70165725,3474912.01456099,33.0
-10615995.85570949,3474915.8621634734,33.0
-10615999.00976173,3474921.4198135426,33.0
-10616001.792748999,3474928.473757475,32.900000000000006
-10616004.390203785,3474936.1689734594,32.900000000000006
-10616006.98765857,3474943.864194052,32.79999999999999
-10616009.214048386,3474951.345662939,32.79999999999999
-10616011.254905716,3474958.185866878,32.79999999999999
-10616013.110230563,3474963.9572917856,32.79999999999999
-10616014.780022925,3474968.232423018,32.79999999999999
-10616015.522152863,3474971.0112590827,32.79999999999999
-10616018.861737588,3474980.202798041,32.79999999999999
-10616021.088127404,3474985.9742328427,32.79999999999999
-10616023.685582189,3474992.8144552247,32.70000000000001
-10616026.283036973,3475000.7234668955,32.70000000000001
-10616029.622621698,3475009.487512545,32.70000000000001
-10616036.858388599,3475028.0844097086,32.70000000000001
-10616041.125635747,3475037.275989514,32.6
-10616045.392882895,3475046.895091705,32.6
-10616049.845662525,3475056.727959169,32.6
-10616049.845662525,3475056.727959169,32.6
-10616058.565689305,3475076.179958286,32.6
-10616063.018468935,3475085.3715725155,32.6
-10616067.100183599,3475094.13567593,32.6
-10616070.439768322,3475102.258508825,32.6
-10616073.037223108,3475109.0987931434,32.6
-10616074.707015468,3475114.442767803,32.6
-10616076.005742861,3475117.8629127513,32.6
-10616077.304470254,3475120.214262932,32.6
-10616078.232132677,3475121.7105769073,32.6
-10616079.53086007,3475123.420650235,32.6
-10616082.128314855,3475125.344483002,32.6
-10616086.952159457,3475125.344483002,32.6
-10616092.889198964,3475123.848168602,32.6
-10616100.310498351,3475121.7105769073,32.6
-10616108.102862708,3475118.931708234,32.70000000000001
-10616116.637357,3475115.297803954,32.70000000000001
-10616125.171851296,3475112.091418679,32.6
-10616133.33528062,3475108.8850342035,32.6
-10616140.57104752,3475105.8924094164,32.6
-10616147.435749454,3475103.1135441656,32.6
-10616153.558321448,3475100.762197116,32.70000000000001
-10616158.938763503,3475099.2658855827,32.70000000000001
-10616170.812842522,3475099.6934031458,32.79999999999999
-10616173.410297306,3475103.32730301,32.79999999999999
-10616176.378817061,3475109.0987931434,32.79999999999999
-10616179.16180433,3475115.9390811054,32.79999999999999
-10616179.16180433,3475115.9390811054,32.79999999999999
-10616185.655441292,3475132.184779616,32.79999999999999
-10616190.108220926,3475140.735155508,32.900000000000006
-10616196.045260435,3475149.071777484,32.900000000000006
-10616202.167832429,3475157.83592437,32.79999999999999
-10616207.919339452,3475166.8138371385,32.79999999999999
-10616212.372119084,3475176.433036355,32.79999999999999
-10616215.711703807,3475186.0522427773,32.79999999999999
-10616218.494691078,3475195.4576960234,32.79999999999999
-10616220.906613378,3475204.0081140427,32.79999999999999
-10616222.761938224,3475211.7034951276,32.79999999999999
-10616224.431730585,3475217.4750339673,32.79999999999999
-10616225.544925494,3475221.536488779,32.79999999999999
-10616229.441107672,3475229.873163209,33.0
-10616232.59515991,3475233.0795778916,33.0
-10616237.604536997,3475235.8584712637,33.0
-10616244.09817396,3475236.499754436,33.10000000000001
-10616251.70500583,3475235.2171881255,33.10000000000001
-10616269.516124357,3475228.804358492,33.0
-10616290.481295124,3475223.2465754007,33.0
-10616302.169841656,3475220.895206355,33.0
-10616314.043920675,3475218.757598506,33.0
-10616325.732467208,3475217.261273223,33.0
-10616325.732467208,3475217.261273223,33.0
-10616348.55296282,3475214.2686231798,33.0
-10616359.870444383,3475213.1998197627,33.10000000000001
-10616371.373458434,3475212.3447770923,33.10000000000001
-10616383.062004967,3475212.1310164337,33.10000000000001
-10616395.12161647,3475212.3447770923,33.10000000000001
-10616407.737825425,3475212.98605909,33.10000000000001
-10616420.354034381,3475213.6273411186,33.10000000000001
-10616432.970243338,3475215.1236659787,33.0
-10616445.02985484,3475218.11631622,33.0
-10616456.532868892,3475220.467684757,33.10000000000001
-10616466.922688032,3475222.1777712367,33.10000000000001
-10616475.457182325,3475223.460336244,33.10000000000001
-10616481.579754319,3475224.1016187966,33.10000000000001
-10616484.362741588,3475224.1016187966,33.10000000000001
-10616486.032533951,3475222.819053724,33.2
-10616491.412976004,3475225.170423121,33.2
-10616499.205340361,3475227.52179295,33.3
-10616518.315186279,3475235.0034270855,33.3
-10616529.261602875,3475239.706170773,33.3
-10616540.764616923,3475245.2639609887,33.3
-10616564.698307443,3475257.0208328306,33.2
-10616602.546934314,3475277.1144205322,33.10000000000001
-10616615.163143272,3475285.2373691658,33.10000000000001
-10616627.408287257,3475292.7190369274,33.0
-10616639.282366276,3475300.414471171,33.0
-10616651.341977779,3475308.109910026,32.900000000000006
-10616663.587121766,3475315.805353493,32.900000000000006
-10616676.203330722,3475323.0732765575,32.79999999999999
-10616688.634007193,3475330.1274411133,32.79999999999999
-10616700.693618696,3475337.1816095435,32.70000000000001
-10616712.38216523,3475343.594493296,32.70000000000001
-10616723.51411431,3475350.0073802527,32.79999999999999
-10616733.532868482,3475356.420270411,32.79999999999999
-10616742.995025197,3475362.619400608,32.900000000000006
-10616751.343987009,3475368.604770534,32.900000000000006
-10616759.136351364,3475373.9488531835,33.0
-10616765.81552081,3475378.0103574838,33.0
-10616771.567027835,3475380.3617552975,33.10000000000001
-10616776.205339951,3475381.858099585,33.10000000000001
-10616779.35939219,3475382.92691704,33.10000000000001
-10616786.038561638,3475387.20218775,33.400000000000006
-10616788.450483937,3475392.760041801,33.400000000000006
-10616789.934743816,3475400.028008418,33.400000000000006
-10616789.563678848,3475408.3647987233,33.3
-10616788.079418968,3475417.770414794,33.3
-10616786.409626607,3475428.0310947294,33.2
-10616784.368769277,3475438.9330761433,33.2
-10616782.51344443,3475450.6901252964,33.2
-10616780.287054613,3475463.088479699,33.2
-10616777.504067345,3475475.486846075,33.10000000000001
-10616775.092145042,3475487.8852244196,33.10000000000001
-10616772.494690258,3475500.7111456506,33.0
-10616769.897235474,3475513.750845368,33.0
-10616767.114248203,3475527.218090122,33.0
-10616763.589130996,3475540.89911513,33.0
-10616760.064013787,3475554.366388356,32.79999999999999
-10616755.982299125,3475567.833675707,32.79999999999999
-10616751.900584461,3475581.7285107938,32.6
-10616748.560999738,3475595.1958268424,32.6
-10616745.778012468,3475608.663157015,32.6
-10616744.29375259,3475622.771803773,32.6
-10616744.108220106,3475651.844215673,32.5
-10616745.221415013,3475666.380446306,32.5
-10616748.375467254,3475693.529038761,32.4
-10616751.343987009,3475706.996472066,32.4
-10616754.498039246,3475720.4639194957,32.4
-10616757.652091485,3475734.572689095,32.4
-10616760.24954627,3475748.8952437877,32.4
-10616762.290403603,3475763.0040446273,32.4
-10616763.589130996,3475776.89909091,32.4
-10616764.702325903,3475791.8630037215,32.4
-10616765.81552081,3475805.9718517745,32.4
-10616766.743183235,3475819.6531737815,32.4
-10616767.114248203,3475833.5482813665,32.4
-10616767.114248203,3475847.0158615294,32.4
-10616767.485313173,3475860.2696843697,32.4
-10616768.412975594,3475873.5235208906,32.4
-10616768.784040565,3475886.563599208,32.4
-10616769.34063802,3475899.603690767,32.5
-10616769.526170503,3475912.85756789,32.5
-10616769.897235474,3475925.897686154,32.5
-10616770.453832928,3475938.082726665,32.5
-10616770.639365412,3475949.8402328556,32.5
-10616771.195962865,3475961.81152295,32.5
-10616771.567027835,3475973.7828242043,32.5
-10616771.938092804,3475985.5403630873,32.5
-10616771.938092804,3475997.0841390104,32.6
-10616772.12362529,3476008.627925313,32.6
-10616772.12362529,3476020.3854961037,32.6
-10616773.236820197,3476044.7557680295,32.6
-10616773.422352681,3476058.437344474,32.6
-10616773.79341765,3476084.3041147734,32.6
-10616774.164482621,3476096.489305615,32.6
-10616773.978950135,3476108.033181291,32.6
-10616773.607885167,3476118.721964319,32.6
-10616773.978950135,3476129.196980321,32.6
-10616773.978950135,3476138.816900504,32.6
-10616773.607885167,3476147.1541704927,32.6
-10616773.422352681,3476153.781235114,32.6
-10616773.051287713,3476158.0567624923,32.6
-10616772.865755228,3476167.4629277345,32.6
-10616776.761937406,3476169.173140337,32.6
-10616782.51344443,3476169.6006935243,32.6
-10616788.636016423,3476169.173140337,32.6
-10616795.871783324,3476169.8144701226,32.6
-10616803.66414768,3476169.386916929,32.6
-10616812.38417446,3476169.386916929,32.6
-10616821.475266207,3476169.386916929,32.6
-10616830.937422924,3476169.386916929,32.6
-10616840.585112127,3476169.6006935243,32.6
-10616850.047268845,3476169.173140337,32.6
-10616859.323893078,3476168.95936375,32.6
-10616878.619271481,3476169.8144701226,32.6
-10616888.823558137,3476169.8144701226,32.6
-10616919.436418107,3476169.8144701226,32.5
-10616929.269639792,3476170.028246724,32.5
-10616938.731796509,3476171.3109064116,32.5
-10616947.637355775,3476172.1660129405,32.5
-10616955.800785098,3476171.9522363027,32.5
-10616962.66548703,3476172.1660129405,32.5
-10616968.416994054,3476172.5935662272,32.4
-10616973.240838656,3476173.021119527,32.4
-10616976.765955865,3476173.6624495042,32.4
-10616987.712372458,3476179.8619742664,32.5
-10616989.382164821,3476184.5650640135,32.5
-10616990.12429476,3476191.1921479455,32.5
-10616990.680892212,3476199.1018977617,32.5
-10616990.866424698,3476207.866761358,32.5
-10616991.423022151,3476217.2729630927,32.5
-10616991.979619605,3476226.892949268,32.5
-10616992.53621706,3476236.726720364,32.5
-10616992.90728203,3476246.7742768717,32.5
-10616993.649411969,3476276.0618800675,32.5
-10616993.834944451,3476285.468131765,32.4
-10616994.020476937,3476294.019275651,32.4
-10616994.020476937,3476301.929088816,32.4
-10616994.020476937,3476301.929088816,32.4
-10616994.57707439,3476315.6109393113,32.4
-10616995.133671844,3476321.3829743615,32.4
-10616995.504736815,3476327.1550120073,32.4
-10616995.875801785,3476333.5683902134,32.4
-10616996.432399238,3476340.1955510564,32.4
-10616996.432399238,3476347.891613105,32.4
-10616996.06133427,3476356.6565782777,32.29999999999999
-10616995.690269297,3476366.2766688927,32.29999999999999
-10616995.875801785,3476376.3243267853,32.29999999999999
-10616995.875801785,3476387.013333178,32.29999999999999
-10616996.432399238,3476397.4885680764,32.20000000000001
-10616996.98899669,3476408.1775920885,32.20000000000001
-10616998.1021916,3476418.225282776,32.20000000000001
-10616998.844321538,3476428.486762231,32.20000000000001
-10616999.215386506,3476438.748249888,32.099999999999994
-10616999.586451475,3476448.795964502,32.099999999999994
-10616999.957516445,3476457.7747799573,32.20000000000001
-10616999.957516445,3476465.6846940145,32.20000000000001
-10616999.586451475,3476472.7394863386,32.20000000000001
-10616999.029854024,3476478.7253737748,32.20000000000001
-10616998.287724083,3476485.3526095496,32.20000000000001
-10616998.1021916,3476493.048758613,32.20000000000001
-10616997.545594146,3476501.3862586375,32.20000000000001
-10616997.174529178,3476510.792675424,32.20000000000001
-10616998.47325657,3476530.888225283,32.20000000000001
-10616999.029854024,3476541.1497947895,32.20000000000001
-10616999.029854024,3476551.4113724986,32.20000000000001
-10616999.029854024,3476561.8867415376,32.20000000000001
-10616999.586451475,3476581.9823713754,32.29999999999999
-10616999.400918992,3476591.8164144615,32.29999999999999
-10616999.586451475,3476601.222897506,32.29999999999999
-10616999.771983963,3476610.6293874425,32.29999999999999
-10617000.328581417,3476619.3945319955,32.29999999999999
-10617000.88517887,3476627.090761415,32.29999999999999
-10617001.070711356,3476633.5042894566,32.29999999999999
-10617001.070711356,3476638.848898606,32.4
-10617000.699646384,3476642.910803047,32.4
-10616998.658789054,3476650.820831173,32.4
-10616999.957516445,3476654.2413853854,32.4
-10617002.554971231,3476658.089509964,32.4
-10617007.19328335,3476661.510066114,32.5
-10617013.686920311,3476662.578990098,32.5
-10617021.850349635,3476662.3652052935,32.5
-10617031.12697387,3476661.723850904,32.5
-10617041.14572804,3476660.654926991,32.6
-10617051.53554718,3476660.013572687,32.6
-10617061.739833836,3476659.799787926,32.6
-10617072.686250431,3476659.799787926,32.6
-10617083.076069571,3476660.013572687,32.5
-10617094.022486167,3476659.799787926,32.5
-10617104.968902761,3476659.158433664,32.5
-10617115.3587219,3476658.944648916,32.5
-10617125.006411104,3476658.517079433,32.5
-10617133.355372913,3476658.517079433,32.5
-10617140.40560733,3476658.517079433,32.5
-10617152.836283801,3476658.303294698,32.5
-10617159.700985735,3476658.089509964,32.5
-10617167.493350089,3476657.875725235,32.5
-10617186.046598556,3476657.6619405095,32.6
-10617197.178547634,3476657.875725235,32.6
-10617208.681561684,3476658.517079433,32.6
-10617220.741173185,3476659.3722184147,32.5
-10617233.728447111,3476659.799787926,32.5
-10617247.272318494,3476660.013572687,32.5
-10617260.81618987,3476660.013572687,32.5
-10617274.916658705,3476660.44114222,32.5
-10617288.831595054,3476660.2273574513,32.5
-10617302.746531403,3476659.799787926,32.5
-10617316.661467753,3476659.586003168,32.5
-10617330.019806648,3476659.158433664,32.5
-10617343.378145544,3476659.158433664,32.5
-10617356.550951952,3476659.158433664,32.5
-10617369.352693396,3476659.3722184147,32.5
-10617381.783369867,3476659.799787926,32.5
-10617393.4719164,3476660.44114222,32.5
-10617404.047268026,3476660.44114222,32.5
